biogps_tissue,bto_tissue
721_B_lymphoblasts,lymphoblast
Adipocyte,adipocyte
AdrenalCortex,adrenal cortex
Adrenalgland,adrenal gland
Amygdala,amygdala
Appendix,vermiform appendix
AtrioventricularNode,atrioventricular node
BDCA4+_DentriticCells,dendritic cell
Bonemarrow,bone marrow
BronchialEpithelialCells,bronchial epithelial cell
CD105+_Endothelial,endothelial cell
CD14+_Monocytes,monocyte
CD19+_BCells(neg._sel.),B-lymphocyte
CD33+_Myeloid,myeloid cell
CD34+,culture condition:CD34+ cell
CD4+_Tcells,culture condition:CD4+ cell
CD56+_NKCells,culture condition:CD56+ cell
CD71+_EarlyErythroid,erythroid progenitor cell
CD8+_Tcells,culture condition:CD8+ cell
CardiacMyocytes,cardiac muscle fiber
Caudatenucleus,caudate nucleus
Cerebellum,cerebellum
CerebellumPeduncles,basis pedunculi cerebri
CiliaryGanglion,nasal nerve
CingulateCortex,cingulate cortex
Colorectaladenocarcinoma,colorectal adenocarcinoma cell
DorsalRootGanglion,spinal ganglion
FetalThyroid,thyroid gland
Fetalbrain,brain
Fetalliver,liver
Fetallung,lung
GlobusPallidus,globus pallidus
Heart,heart
Hypothalamus,hypothalamus
Kidney,kidney
Leukemia_chronicMyelogenousK-562,K-562 cell
Leukemia_promyelocytic-HL-60,HL-60 cell
Leukemialymphoblastic(MOLT-4),MOLT-4 cell
Liver,liver
Lung,lung
Lymphnode,lymph node
Lymphoma_burkitts(Daudi),DAUDI cell
Lymphoma_burkitts(Raji),RAJI cell
MedullaOblongata,medulla oblongata
OccipitalLobe,occipital lobe
OlfactoryBulb,olfactory bulb
Ovary,ovary
Pancreas,pancreas
PancreaticIslet,pancreatic islet
ParietalLobe,parietal lobe
Pituitary,hypophysis
Placenta,placenta
Pons,pons
PrefrontalCortex,prefrontal cortex
Prostate,prostate gland
Salivarygland,salivary gland
SkeletalMuscle,skeletal muscle
Skin,skin
SmoothMuscle,smooth muscle
Spinalcord,spinal cord
SubthalamicNucleus,subthalamic nucleus
SuperiorCervicalGanglion,superior cervical ganglion
TemporalLobe,temporal lobe
Testis,testis
TestisGermCell,germ cell
TestisIntersitial,interstitial cell
TestisLeydigCell,Leydig cell
TestisSeminiferousTubule,seminiferous tubule
Thalamus,thalamus
Thymus,thymus
Thyroid,thyroid gland
Tongue,tongue
Tonsil,tonsil
Trachea,trachea
TrigeminalGanglion,trigeminal ganglion
Uterus,uterus
UterusCorpus,uterus
WholeBlood,blood
Wholebrain,brain
colon,colon
pineal_day,pineal gland
pineal_night,pineal gland
retina,retina
small_intestine,small intestine